Series,Play,Quarter,Time,Score_Margin,Down,Distance,POS,Play_Type,Personnel,Formation,Motion,Runner,Lead_Block,Target,Catch,Gain,Penalty,Play_Action,Pass_Area,Pass_Depth,Run_Area,Def_Package,Def_Front,Pass_Rushers,Goal_Line,LOS_to_Goal,Net_Gain,Minute,Second,Num_RB,Num_TE,Num_WR,6_OL,Left_Split,Right_Split,Shotgun,Shotgun_Offset,I-Form,I-Form_Offset,Motion_Bool,Motion_Pos,Motion_Dir,Target_Pos,Target_Align,Pass_Dir,TD,Explosive_Pass,Explosive_Pass_Yd,Explosive_Run,Explosive_Run_Yd,Explosive_Play,Successful_Pass,Successful_Run,Successful_Play,Sack_TFL,Sack_TFL_Yards,Penalty_Team,Penalty_Type,Penalty_Yards
1,1,1,14:33,0,1,10.0,-48,Run,6 OL,"""+1x3-"", dual TE LOS, singleback",,Murray,,N/A,N/A,,,,,,IR,,Under,,0,52,5.0,14,33,,2.0,,1.0,Wide,Narrow,0.0,,0.0,,0.0,,,,,,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,0.0
1,2,1,13:56,0,2,5.0,47,Pass,12,"""+2x2-"", closed R, dual TE LOS, shotgun offset R",,N/A,,"Richard (R RB, 3)",Catch,11.0,,,RM,S,,,Under,5.0,0,47,11.0,13,56,1.0,2.0,2.0,0.0,Wide,Narrow,1.0,,0.0,,0.0,,,RB,3,Right,0.0,0.0,,0.0,,0.0,1.0,,1.0,0.0,,,,0.0
1,3,1,13:16,0,1,10.0,36,Run,6 OL,"""-2x2-"", singleback",,Washington,,N/A,N/A,1.0,,,,,M,,Under,,0,36,1.0,13,16,,,,1.0,Narrow,Narrow,0.0,,0.0,,0.0,,,,,,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,0.0
1,4,1,12:33,0,2,9.0,35,Pass,1,"""+2x2+"", shotgun offset L",WR in,N/A,,Cooper (R1),Catch,21.0,,,RM,S,,,2 Eagle Even,4.0,0,35,21.0,12,33,,,,0.0,Wide,Wide,1.0,,0.0,,1.0,WR,in,WR,1,Right,0.0,1.0,21.0,0.0,,1.0,1.0,,1.0,0.0,,,,0.0
1,5,1,11:53,0,1,10.0,14,Pass,12,"""+2x2-"", closed R, dual TE LOS, shotgun offset R",,N/A,,"Walford (R LOS TE, 2)",Inc.,0.0,,,RM,IS,,,Under,5.0,0,14,0.0,11,53,1.0,2.0,2.0,0.0,Wide,Narrow,1.0,,0.0,,0.0,,,TE,2,Right,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,0.0
1,6,1,11:49,0,2,10.0,14,Run,11,"""+3x1-"", closed R, singleback",WR in,Murray,,N/A,N/A,8.0,,,,,M,,Over,,0,14,8.0,11,49,1.0,1.0,3.0,0.0,Wide,Narrow,0.0,,0.0,,1.0,WR,in,,,,0.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,,,0.0
1,7,1,11:07,0,3,2.0,6,Pass,11,"""-2x2+"", stack L-, shotgun offset R",WR in,N/A,,Roberts (R2),Catch,1.0,,,RS,S,,,2 Eagle Even,5.0,0,6,1.0,11,07,1.0,1.0,3.0,0.0,Narrow,Wide,1.0,,0.0,,1.0,WR,in,WR,2,Right,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,0.0
2,8,1,9:19,3,1,10.0,-42,Run,6 OL,"""-2x2+"", closed L, dual TE LOS, singleback",TE in,Murray,,N/A,N/A,1.0,,,,,IL,,Under,,0,58,1.0,9,19,1.0,2.0,2.0,1.0,Narrow,Wide,0.0,,0.0,,1.0,TE,in,,,,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,0.0
2,9,1,8:39,3,2,9.0,-43,Pass,11,"""+1x3+"", shotgun offset L",,N/A,,Roberts (R2),Catch,21.0,,,RM,ID,,,Over,4.0,0,57,21.0,8,39,1.0,1.0,3.0,0.0,Wide,Wide,1.0,,0.0,,0.0,,,WR,2,Right,0.0,1.0,21.0,0.0,,1.0,1.0,,1.0,0.0,,,,0.0
2,10,1,8:04,3,1,10.0,36,Run,6 OL,"""-2x2+"", singleback",HB out,Murray,"RG, TE",N/A,N/A,3.0,,,,,IL,,Over,,0,36,3.0,8,04,,,,1.0,Narrow,Wide,0.0,,0.0,,1.0,HB,out,,,,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,0.0
2,11,1,7:22,3,2,7.0,33,Pass,11,"""+2x2+"", shotgun offset R",,N/A,,Cooper (L1),Inc.,0.0,,,LM,S,,,Under,5.0,0,33,0.0,7,22,1.0,1.0,3.0,0.0,Wide,Wide,1.0,,0.0,,0.0,,,WR,1,Left,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,0.0
2,12,1,7:19,3,3,7.0,33,Pass,11,"""+2x2+"", shotgun offset R",,N/A,,Holmes (L2),Catch,16.0,,,LS,IS,,,Over,4.0,0,33,16.0,7,19,1.0,1.0,3.0,0.0,Wide,Wide,1.0,,0.0,,0.0,,,WR,2,Left,0.0,1.0,16.0,0.0,,1.0,1.0,,1.0,0.0,,,,0.0
2,13,1,6:31,3,1,10.0,17,Pass,11,"""-1x3+"", shotgun offset R",RB bk,N/A,,Cooper (L1),Inc.,,"Def. holding, Roby, +5",,LM,S,,,Under,4.0,0,17,5.0,6,31,1.0,1.0,3.0,0.0,Narrow,Wide,1.0,,0.0,,1.0,RB,bk,WR,1,Left,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,Defense,Def. holding,5.0
2,14,1,6:27,3,1,10.0,12,Pass,11,"""+2x3+"", shotgun",,N/A,,Crabtree (R2),Inc.,0.0,,,RS,ID,,,Other Odd,3.0,0,12,0.0,6,27,1.0,1.0,3.0,0.0,Wide,Wide,1.0,,0.0,,0.0,,,WR,2,Right,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,0.0
2,15,1,6:20,3,2,10.0,12,Pass,11,"""+2x2+"", shotgun offset R",,N/A,,Cooper (R2),Catch,6.0,,,RS,S,,,2 Eagle Even,4.0,0,12,6.0,6,20,1.0,1.0,3.0,0.0,Wide,Wide,1.0,,0.0,,0.0,,,WR,2,Right,0.0,0.0,,0.0,,0.0,1.0,,1.0,0.0,,,,0.0
2,16,1,5:35,3,3,4.0,6,Pass,11,"""+2x2+"", shotgun offset R",,N/A,,N/A,"Sack, Miller",-5.0,,,,,,,Over,4.0,0,6,-5.0,5,35,1.0,1.0,3.0,0.0,Wide,Wide,1.0,,0.0,,0.0,,,,,,0.0,0.0,,0.0,,0.0,,,0.0,1.0,-5.0,,,0.0
3,17,1,3:35,6,1,10.0,-43,Pass,6 OL,"""-2x2-"", singleback",,N/A,,Holmes (R1),Catch,11.0,,"Hard, roll",LS,S,,,Under,4.0,0,57,11.0,3,35,,,,1.0,Narrow,Narrow,0.0,,0.0,,0.0,,,WR,1,Right,0.0,0.0,,0.0,,0.0,1.0,,1.0,0.0,,,,0.0
3,18,1,2:57,6,1,10.0,46,Run,12,"""+2x2+"", shotgun offset R",,Richard,,N/A,N/A,2.0,,,,,M,,Over,,0,46,2.0,2,57,1.0,2.0,2.0,0.0,Wide,Wide,1.0,,0.0,,0.0,,,,,,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,0.0
3,19,1,2:04,6,2,8.0,44,Pass,6 OL,N/A,RB bk,N/A,,Cooper (L1),Catch,11.0,,Hard,RM,S,,,2 Eagle Even,4.0,0,44,11.0,2,04,,,,1.0,,,0.0,,0.0,,1.0,RB,bk,WR,1,Left,0.0,0.0,,0.0,,0.0,1.0,,1.0,0.0,,,,0.0
3,20,1,1:37,6,1,10.0,33,Run,6 OL,"""*2x2-"", closed R, dual TE LOS, singleback",TE in,Washington,,N/A,N/A,8.0,,,,,M,,Under,,0,33,8.0,1,37,1.0,2.0,2.0,1.0,Normal,Narrow,0.0,,0.0,,1.0,TE,in,,,,0.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,,,0.0
